W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0730 15:40:58.418000 2727149 site-packages/torch/distributed/run.py:792] *****************************************
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
batch shape: torch.Size([4, 5, 3, 224, 224]) (B=4, S=5)
参数数量: 21.3M
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
✅ Forward pass 成功! loss=1.396904, pred=torch.Size([20, 196, 768]), mask_rate=0.750
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: 3222703726 (3222703726-huazhong-university-of-science-and-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.9
wandb: Run data is saved locally in /data/data_taohy/modelReShow/mum/wandb/run-20260730_154105-3lxp7m0h
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mum_vit_small_S3-5_steps15k
wandb: ⭐️ View project at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM
wandb: 🚀 View run at https://wandb.ai/3222703726-huazhong-university-of-science-and-technology/MuM/runs/3lxp7m0h
[BlendedMVSDataset] 113 个场景 × 4, S∈[3,5], 452 个样本
设备: cuda:0, GPU数: 4, 场景数: 113, 样本数: 452, S∈[3,5], AMP=bf16
有效 batch: 32, 总优化步数: 15000, warmup: 1000
模型: vit_small, norm_layer: layernormbf16
[step   5050/15000] loss=0.5139 | lr=8.07e-03 | 21.9s
[step   5100/15000] loss=0.5427 | lr=8.03e-03 | 22.6s
[step   5150/15000] loss=0.5566 | lr=7.98e-03 | 21.9s
[step   5200/15000] loss=0.5276 | lr=7.94e-03 | 22.7s
[step   5250/15000] loss=0.5501 | lr=7.89e-03 | 22.0s
[step   5300/15000] loss=0.5391 | lr=7.85e-03 | 22.8s
[step   5350/15000] loss=0.5400 | lr=7.80e-03 | 22.5s
[step   5400/15000] loss=0.5249 | lr=7.75e-03 | 22.2s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-154103_step5400.pth
[step   5450/15000] loss=0.5225 | lr=7.71e-03 | 23.0s
[step   5500/15000] loss=0.5345 | lr=7.66e-03 | 22.3s
[step   5550/15000] loss=0.5373 | lr=7.61e-03 | 22.9s
[step   5600/15000] loss=0.5352 | lr=7.56e-03 | 22.1s
[step   5650/15000] loss=0.5214 | lr=7.52e-03 | 22.8s
[step   5700/15000] loss=0.5245 | lr=7.47e-03 | 22.8s
[step   5750/15000] loss=0.5399 | lr=7.42e-03 | 22.6s
[step   5800/15000] loss=0.5246 | lr=7.37e-03 | 22.7s
[step   5850/15000] loss=0.5371 | lr=7.32e-03 | 22.1s
[step   5900/15000] loss=0.4993 | lr=7.27e-03 | 23.0s
[step   5950/15000] loss=0.5443 | lr=7.22e-03 | 22.0s
[step   6000/15000] loss=0.5292 | lr=7.17e-03 | 23.2s
[step   6050/15000] loss=0.5093 | lr=7.12e-03 | 22.9s
[step   6100/15000] loss=0.5498 | lr=7.07e-03 | 22.2s
[step   6150/15000] loss=0.5228 | lr=7.02e-03 | 22.7s
[step   6200/15000] loss=0.5260 | lr=6.97e-03 | 21.8s
[step   6250/15000] loss=0.4983 | lr=6.91e-03 | 22.6s
[step   6300/15000] loss=0.5102 | lr=6.86e-03 | 21.6s
[step   6350/15000] loss=0.4995 | lr=6.81e-03 | 22.9s
[step   6400/15000] loss=0.5072 | lr=6.76e-03 | 22.6s
[step   6450/15000] loss=0.5017 | lr=6.70e-03 | 21.8s
[step   6500/15000] loss=0.5392 | lr=6.65e-03 | 22.8s
[step   6550/15000] loss=0.5223 | lr=6.60e-03 | 22.1s
[step   6600/15000] loss=0.5161 | lr=6.55e-03 | 22.4s
[step   6650/15000] loss=0.5365 | lr=6.49e-03 | 22.0s
[step   6700/15000] loss=0.5311 | lr=6.44e-03 | 23.3s
[step   6750/15000] loss=0.5125 | lr=6.38e-03 | 22.7s
[step   6800/15000] loss=0.5275 | lr=6.33e-03 | 22.0s
[step   6850/15000] loss=0.5111 | lr=6.28e-03 | 22.4s
[step   6900/15000] loss=0.5199 | lr=6.22e-03 | 22.0s
[step   6950/15000] loss=0.5399 | lr=6.17e-03 | 23.1s
[step   7000/15000] loss=0.5431 | lr=6.11e-03 | 22.4s
[step   7050/15000] loss=0.5204 | lr=6.06e-03 | 22.8s
[step   7100/15000] loss=0.5186 | lr=6.00e-03 | 22.5s
[step   7150/15000] loss=0.5116 | lr=5.95e-03 | 22.5s
[step   7200/15000] loss=0.5290 | lr=5.89e-03 | 22.9s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-154103_step7200.pth
[step   7250/15000] loss=0.5067 | lr=5.84e-03 | 22.5s
[step   7300/15000] loss=0.5069 | lr=5.78e-03 | 23.1s
[step   7350/15000] loss=0.5138 | lr=5.73e-03 | 22.1s
[step   7400/15000] loss=0.4640 | lr=5.67e-03 | 22.8s
[step   7450/15000] loss=0.5079 | lr=5.62e-03 | 22.6s
[step   7500/15000] loss=0.4755 | lr=5.56e-03 | 22.0s
[step   7550/15000] loss=0.4872 | lr=5.50e-03 | 23.5s
[step   7600/15000] loss=0.5316 | lr=5.45e-03 | 21.8s
[step   7650/15000] loss=0.5195 | lr=5.39e-03 | 22.9s
[step   7700/15000] loss=0.5100 | lr=5.34e-03 | 21.9s
[step   7750/15000] loss=0.5152 | lr=5.28e-03 | 23.1s
[step   7800/15000] loss=0.5145 | lr=5.22e-03 | 22.7s
[step   7850/15000] loss=0.5313 | lr=5.17e-03 | 22.0s
[step   7900/15000] loss=0.5221 | lr=5.11e-03 | 22.8s
[step   7950/15000] loss=0.5197 | lr=5.06e-03 | 21.9s
[step   8000/15000] loss=0.5015 | lr=5.00e-03 | 22.8s
[step   8050/15000] loss=0.5368 | lr=4.94e-03 | 21.9s
[step   8100/15000] loss=0.4772 | lr=4.89e-03 | 22.4s
[step   8150/15000] loss=0.4913 | lr=4.83e-03 | 22.7s
[step   8200/15000] loss=0.5158 | lr=4.78e-03 | 22.2s
[step   8250/15000] loss=0.5152 | lr=4.72e-03 | 22.8s
[step   8300/15000] loss=0.5134 | lr=4.66e-03 | 22.0s
[step   8350/15000] loss=0.4956 | lr=4.61e-03 | 22.7s
[step   8400/15000] loss=0.5014 | lr=4.55e-03 | 21.9s
[step   8450/15000] loss=0.5090 | lr=4.50e-03 | 22.7s
[step   8500/15000] loss=0.5097 | lr=4.44e-03 | 22.6s
[step   8550/15000] loss=0.5170 | lr=4.38e-03 | 22.1s
[step   8600/15000] loss=0.5227 | lr=4.33e-03 | 22.6s
[step   8650/15000] loss=0.5177 | lr=4.27e-03 | 22.2s
[step   8700/15000] loss=0.5077 | lr=4.22e-03 | 22.5s
[step   8750/15000] loss=0.5008 | lr=4.16e-03 | 22.0s
[step   8800/15000] loss=0.5212 | lr=4.11e-03 | 22.7s
[step   8850/15000] loss=0.5097 | lr=4.05e-03 | 23.2s
[step   8900/15000] loss=0.5306 | lr=4.00e-03 | 22.0s
[step   8950/15000] loss=0.5212 | lr=3.94e-03 | 22.7s
[step   9000/15000] loss=0.5120 | lr=3.89e-03 | 21.9s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-154103_step9000.pth
[step   9050/15000] loss=0.5160 | lr=3.83e-03 | 23.4s
[step   9100/15000] loss=0.5268 | lr=3.78e-03 | 22.2s
[step   9150/15000] loss=0.5191 | lr=3.72e-03 | 23.0s
[step   9200/15000] loss=0.5051 | lr=3.67e-03 | 22.8s
[step   9250/15000] loss=0.4969 | lr=3.62e-03 | 21.9s
[step   9300/15000] loss=0.5020 | lr=3.56e-03 | 22.8s
[step   9350/15000] loss=0.4863 | lr=3.51e-03 | 22.0s
[step   9400/15000] loss=0.5057 | lr=3.45e-03 | 23.5s
[step   9450/15000] loss=0.4921 | lr=3.40e-03 | 21.8s
[step   9500/15000] loss=0.4972 | lr=3.35e-03 | 22.5s
[step   9550/15000] loss=0.5031 | lr=3.30e-03 | 22.6s
[step   9600/15000] loss=0.5041 | lr=3.24e-03 | 22.0s
[step   9650/15000] loss=0.5155 | lr=3.19e-03 | 22.4s
[step   9700/15000] loss=0.4925 | lr=3.14e-03 | 22.0s
[step   9750/15000] loss=0.5131 | lr=3.09e-03 | 22.4s
[step   9800/15000] loss=0.4902 | lr=3.03e-03 | 21.9s
[step   9850/15000] loss=0.5012 | lr=2.98e-03 | 23.4s
[step   9900/15000] loss=0.5144 | lr=2.93e-03 | 22.9s
[step   9950/15000] loss=0.4856 | lr=2.88e-03 | 21.8s
[step  10000/15000] loss=0.4867 | lr=2.83e-03 | 22.7s
[step  10050/15000] loss=0.5182 | lr=2.78e-03 | 22.0s
[step  10100/15000] loss=0.4573 | lr=2.73e-03 | 22.5s
[step  10150/15000] loss=0.4731 | lr=2.68e-03 | 21.9s
[step  10200/15000] loss=0.5013 | lr=2.63e-03 | 23.0s
[step  10250/15000] loss=0.4945 | lr=2.58e-03 | 22.6s
[step  10300/15000] loss=0.5061 | lr=2.53e-03 | 22.0s
[step  10350/15000] loss=0.5047 | lr=2.48e-03 | 23.0s
[step  10400/15000] loss=0.4690 | lr=2.44e-03 | 22.1s
[step  10450/15000] loss=0.4970 | lr=2.39e-03 | 23.1s
[step  10500/15000] loss=0.4916 | lr=2.34e-03 | 21.9s
[step  10550/15000] loss=0.5090 | lr=2.29e-03 | 22.8s
[step  10600/15000] loss=0.4794 | lr=2.25e-03 | 22.4s
[step  10650/15000] loss=0.4828 | lr=2.20e-03 | 21.7s
[step  10700/15000] loss=0.4930 | lr=2.15e-03 | 22.6s
[step  10750/15000] loss=0.4960 | lr=2.11e-03 | 21.9s
[step  10800/15000] loss=0.5056 | lr=2.06e-03 | 22.8s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-154103_step10800.pth
[step  10850/15000] loss=0.5013 | lr=2.02e-03 | 22.4s
[step  10900/15000] loss=0.4962 | lr=1.97e-03 | 23.0s
[step  10950/15000] loss=0.4828 | lr=1.93e-03 | 22.8s
[step  11000/15000] loss=0.4685 | lr=1.88e-03 | 22.2s
[step  11050/15000] loss=0.4815 | lr=1.84e-03 | 22.7s
[step  11100/15000] loss=0.4984 | lr=1.80e-03 | 22.0s
[step  11150/15000] loss=0.5037 | lr=1.75e-03 | 22.9s
