[step  33950/50000] loss=0.4856 | lr=3.63e-05 | 52.0s
[step  34000/50000] loss=0.5256 | lr=3.61e-05 | 51.9s
[step  34050/50000] loss=0.5105 | lr=3.59e-05 | 52.3s
[step  34100/50000] loss=0.5346 | lr=3.57e-05 | 51.5s
[step  34150/50000] loss=0.5363 | lr=3.55e-05 | 52.6s
[step  34200/50000] loss=0.5142 | lr=3.53e-05 | 51.8s
  💾 Checkpoint → /data/data_taohy/modelReShow/mum/checkpoints/mum_0730-104027_step34200.pth
[step  34250/50000] loss=0.5311 | lr=3.51e-05 | 53.9s
[step  34300/50000] loss=0.5364 | lr=3.49e-05 | 52.0s
[step  34350/50000] loss=0.5105 | lr=3.47e-05 | 52.7s
[step  34400/50000] loss=0.5169 | lr=3.45e-05 | 52.1s
[step  34450/50000] loss=0.5095 | lr=3.43e-05 | 51.5s
[step  34500/50000] loss=0.5165 | lr=3.41e-05 | 52.7s
[step  34550/50000] loss=0.4952 | lr=3.39e-05 | 51.5s 
[step  34600/50000] loss=0.5267 | lr=3.37e-05 | 53.0s[step  34650/50000] loss=0.5091 | lr=3.35e-05 | 52.3s
[step  34700/50000] loss=0.4897 | lr=3.33e-05 | 52.4s
[step  34750/50000] loss=0.5209 | lr=3.31e-05 | 52.8s
[step  34800/50000] loss=0.5081 | lr=3.29e-05 | 52.1s
[step  34850/50000] loss=0.5257 | lr=3.27e-05 | 52.4s
W0730 13:28:44.671000 2471212 site-packages/torch/distributed/elastic/multiprocessing/api.py:897] Sending process 2471249 closing signal SIGTERM
W0730 13:28:44.673000 2471212 site-packages/torch/distributed/elastic/multiprocessing/api.py:897] Sending process 2471251 closing signal SIGTERM
W0730 13:28:44.674000 2471212 site-packages/torch/distributed/elastic/multiprocessing/api.py:897] Sending process 2471252 closing signal SIGTERM
E0730 13:28:44.800000 2471212 site-packages/torch/distributed/elastic/multiprocessing/api.py:869] failed (exitcode: -15) local_rank: 1 (pid: 2471250) of binary: /data/xyjiang/anaconda3/envs/MuM/bin/python3.10
Root Cause (first observed failure):
[0]:
  time      : 2026-07-30_13:28:44
  host      : 10013
  rank      : 1 (local_rank: 1)
  exitcode  : -15 (pid: 2471250)
  error_file: <N/A>
  traceback : Signal 15 (SIGTERM) received by PID 2471250
=========================================================
